config,I,T,J,method,mean_sec,std_sec
"I=2, T=12, J=30",2,12,30,CM,0.00021202766666661432,1.1154948390317707e-05
"I=2, T=12, J=30",2,12,30,CF,0.00022024966666833734,4.8162898819170334e-06
"I=2, T=12, J=30",2,12,30,RF,0.00024734733333412845,6.7125899807349506e-06
"I=2, T=12, J=30",2,12,30,SBS,0.00020036133333315811,6.892117299902949e-06
"I=2, T=12, J=30",2,12,30,RO,0.0002255693333346187,2.360071392006638e-05
"I=2, T=12, J=30",2,12,30,DRO,0.05811188900000038,0.0007634196096454717
"I=2, T=12, J=60",2,12,60,CM,0.00037973633333502715,4.613091613593326e-06
"I=2, T=12, J=60",2,12,60,CF,0.0004221666666666124,9.79318583785569e-07
"I=2, T=12, J=60",2,12,60,RF,0.000481194333333453,1.0238588650457667e-05
"I=2, T=12, J=60",2,12,60,SBS,0.00036973633333303724,1.2094359465760826e-05
"I=2, T=12, J=60",2,12,60,RO,0.0003874723333332497,8.171431914930698e-06
"I=2, T=12, J=60",2,12,60,DRO,0.09941579133333416,0.01074138979561343
"I=2, T=12, J=120",2,12,120,CM,0.0007295553333328542,1.2549802397827911e-05
"I=2, T=12, J=120",2,12,120,CF,0.0008141253333337298,1.0423945904308441e-05
"I=2, T=12, J=120",2,12,120,RF,0.0009500000000007466,7.958523272605894e-06
"I=2, T=12, J=120",2,12,120,SBS,0.000767555666668566,1.224720238316577e-05
"I=2, T=12, J=120",2,12,120,RO,0.000781277666667061,2.038087823370575e-05
"I=2, T=12, J=120",2,12,120,DRO,0.17614772166666745,0.00887669873667139
"I=4, T=24, J=60",4,24,60,CM,0.0008845413333335254,8.319043309182273e-06
"I=4, T=24, J=60",4,24,60,CF,0.0009267223333324637,4.331138475512267e-05
"I=4, T=24, J=60",4,24,60,RF,0.0009571526666682928,1.3951198786183932e-05
"I=4, T=24, J=60",4,24,60,SBS,0.0008984026666674083,1.244327996225408e-05
"I=4, T=24, J=60",4,24,60,RO,0.0009131946666679861,7.114190528184005e-06
"I=4, T=24, J=60",4,24,60,DRO,0.22091022200000054,0.0033124665342439265
"I=4, T=24, J=100",4,24,100,CM,0.0014525556666669104,4.8559880404195944e-05
"I=4, T=24, J=100",4,24,100,CF,0.0015856110000006158,4.25796437121241e-05
"I=4, T=24, J=100",4,24,100,RF,0.0015924166666666888,1.7771597458811974e-05
"I=4, T=24, J=100",4,24,100,SBS,0.0014599996666658417,2.1356399857135514e-05
"I=4, T=24, J=100",4,24,100,RO,0.0015115556666671637,4.7367319406279416e-05
"I=4, T=24, J=100",4,24,100,DRO,0.37885616699999974,0.009288554480983298
