w_price,w_carbon,w_risk,exp_cost,exp_carbon,exp_renewable_util,cvar90_carbon,cvar95_carbon,cvar90_cost,cvar95_cost,sla_violation_rate,std_cost,std_carbon,runtime_sec
0.5,0.5,1.8,14.082897356472888,47.66497485372148,0.28861283314858277,53.55525269514405,53.55525269514405,15.701377281111032,15.701377281111032,0.0,0.9994739306785039,4.229940226805478,0.0
0.5,1.1,0.8,13.14086462276293,48.58029040135753,0.29182062247207297,54.76133403277279,54.76133403277279,14.728809447751656,14.728809447751656,0.0,0.9157868926600935,4.2891041757855435,0.0
0.5,1.1,1.2,13.817908492409664,47.78002990880171,0.2905411257427331,53.75653573616232,53.75653573616232,15.433659618704128,15.433659618704128,0.0,0.9498751058451494,4.248263318384596,0.0
0.5,1.1,1.8,14.177128768659461,46.972926955099325,0.2908584203504922,52.983511112724315,52.983511112724315,15.876419743157957,15.876419743157957,0.0,1.0128596558817136,4.230529494179283,0.0
0.5,1.5,0.8,13.353783003059984,47.840203575607866,0.2944825618508785,53.95182236645525,53.95182236645525,14.995214741370862,14.995214741370862,0.0,0.9100216774473688,4.278709936333584,0.0
0.5,1.5,1.2,13.886870294289778,47.621898519500924,0.29159138026608417,53.661394114450474,53.661394114450474,15.509761828526866,15.509761828526866,0.0,0.9643704488804459,4.269520632756272,0.0
0.5,1.5,1.8,14.465658955750815,46.49469814362889,0.29000465929876185,52.478610860470965,52.478610860470965,16.1764336655542,16.1764336655542,0.0,1.0495440527518647,4.202184749153286,0.0
0.8,0.5,0.0,12.06000518900004,54.15300485355863,0.27946701909592553,61.28950914559553,61.28950914559553,13.508676474979323,13.508676474979323,0.0,0.8691749981397419,4.966806877711111,0.0
0.8,0.8,1.2,12.719526630606076,49.47452049845276,0.2852356792342764,55.999631391314594,55.999631391314594,14.159943047925388,14.159943047925388,0.0,0.8563859129003338,4.389013830435939,0.0
0.8,0.8,1.8,13.244206353863984,48.57297607229465,0.28883287013327114,54.565219461141794,54.565219461141794,14.721948643156606,14.721948643156606,0.0,0.8992690215554526,4.316450243255342,0.0
1.0,0.5,0.0,11.940528284404413,54.777155528498604,0.27690096257009245,62.10877913374618,62.10877913374618,13.485588889530662,13.485588889530662,0.0,0.8572308456579608,5.082590459838586,0.0
1.0,0.5,1.2,12.630744055641488,50.614139650059656,0.2830057760992369,57.21174798807952,57.21174798807952,14.127411004067875,14.127411004067875,0.0,0.8489351255272228,4.494891742160715,0.0
1.0,0.5,1.8,12.800720507237795,48.88295965342858,0.2892816473373836,55.2435538776553,55.2435538776553,14.251056402253102,14.251056402253102,0.0,0.8561573637868656,4.339120661141952,0.0
1.0,0.8,0.0,12.232508471852622,53.96045873216676,0.2763076562281353,60.98128101012411,60.98128101012411,13.66590094757338,13.66590094757338,0.0,0.8419313369237199,4.994117907074873,0.0
1.0,0.8,1.8,12.848236803928959,48.74258560376711,0.28987218286886235,55.09967763680423,55.09967763680423,14.363015276726072,14.363015276726072,0.0,0.8841702516822023,4.345995989373592,0.0
1.0,1.1,0.0,12.297559124517857,53.61515167027679,0.27473282000347093,60.578225298403616,60.578225298403616,13.812815073915868,13.812815073915868,0.0,0.844661725265095,4.892145051987001,0.0
1.0,1.1,0.8,12.646635590355508,50.129508211489764,0.2833430145703978,56.741345792775654,56.741345792775654,14.137713985380525,14.137713985380525,0.0,0.8537353799420628,4.480429937690872,0.0
1.0,1.1,1.8,12.978761215147486,48.63376164698819,0.289007810083071,54.83239457986496,54.83239457986496,14.489290042827053,14.489290042827053,0.0,0.886599159964382,4.3313890299348055,0.0
1.2,0.5,0.8,12.478212719574508,52.90420851856685,0.2768805097327374,59.725561440383736,59.725561440383736,14.033510893616928,14.033510893616928,0.0,0.8765457855948898,4.78642272617794,0.0
1.2,0.5,1.2,12.57717419966754,50.82914996615111,0.28294590872987546,57.55111159173782,57.55111159173782,14.068561460533616,14.068561460533616,0.0,0.8266949515145081,4.5298433618317775,0.0
1.2,0.5,1.8,12.761530056923807,49.47286384784424,0.286769987202852,55.92907480150883,55.92907480150883,14.216221580890206,14.216221580890206,0.0,0.8542960473241591,4.379218316865141,0.0
1.2,0.8,0.8,12.513214809189694,51.849374303941474,0.2787615433468348,58.566717897347374,58.566717897347374,14.029790137276034,14.029790137276034,0.0,0.8689438386776646,4.669526192009188,0.0
1.2,0.8,1.8,12.767000537384845,49.12043996465037,0.28761323557502755,55.559498005285455,55.559498005285455,14.185786469331763,14.185786469331763,0.0,0.8672519948466791,4.3813232672733795,0.0
1.2,1.1,0.0,12.132112400481908,53.907619383839176,0.27440244674811076,61.03103793855392,61.03103793855392,13.5984315998537,13.5984315998537,0.0,0.7962163755224084,4.970742040080042,0.0
1.2,1.1,0.8,12.534119712626943,51.40524017507366,0.2789442953283657,58.145256821212406,58.145256821212406,14.121996201093376,14.121996201093376,0.0,0.8466409149890783,4.630559687999042,0.0
1.2,1.5,0.0,12.436129970670656,53.51041522012984,0.27297272541431666,60.39320788222787,60.39320788222787,14.073774394041218,14.073774394041218,0.0,0.887391374987659,4.92800565228142,0.0
1.2,1.5,1.8,12.930909968442933,48.67043831328277,0.2889761236597289,54.895953017186116,54.895953017186116,14.437226484372584,14.437226484372584,0.0,0.8845372100059127,4.33417088196122,0.0
