w_cvar,tau,seed,exp_cost,exp_carbon,exp_renewable_util,cvar90_carbon,cvar95_carbon,cvar90_cost,cvar95_cost,sla_violation_rate,std_cost,std_carbon,runtime_sec
0.0,0.0,21,11.084505896209677,39.081675847556234,0.1737657430277048,47.48100086667658,47.48100086667658,13.02574650082379,13.02574650082379,0.0,1.2303252331646028,5.738301903697059,0.0
0.0,0.0,22,12.064159496435044,40.650507189384854,0.1721465795962852,44.550971578866424,44.550971578866424,14.132419995062968,14.132419995062968,0.0,1.071285769992574,2.721998425180863,0.0
0.0,0.5,21,11.084505896209677,39.081675847556234,0.1737657430277048,47.48100086667658,47.48100086667658,13.02574650082379,13.02574650082379,0.0,1.2303252331646028,5.738301903697059,0.0
0.0,0.5,22,12.064159496435044,40.650507189384854,0.1721465795962852,44.550971578866424,44.550971578866424,14.132419995062968,14.132419995062968,0.0,1.071285769992574,2.721998425180863,0.0
0.0,1.0,21,11.084505896209677,39.081675847556234,0.1737657430277048,47.48100086667658,47.48100086667658,13.02574650082379,13.02574650082379,0.0,1.2303252331646028,5.738301903697059,0.0
0.0,1.0,22,12.064159496435044,40.650507189384854,0.1721465795962852,44.550971578866424,44.550971578866424,14.132419995062968,14.132419995062968,0.0,1.071285769992574,2.721998425180863,0.0
0.5,0.0,21,11.349927475827805,38.698920842738154,0.17507221522159516,47.0034840330008,47.0034840330008,13.373047401816937,13.373047401816937,0.0,1.2563920048919066,5.654930951663208,0.0
0.5,0.0,22,12.152258423469547,40.737489342144585,0.17081303898426534,44.64533279878801,44.64533279878801,14.26180703395108,14.26180703395108,0.0,1.099119579838712,2.7141508292201446,0.0
0.5,0.5,21,11.374312266497695,38.982923411642815,0.1709274318660325,47.322210364573905,47.322210364573905,13.418088474959433,13.418088474959433,0.0,1.2628033280474378,5.680480298504478,0.0
0.5,0.5,22,12.239516889122658,40.50431175273272,0.17078045605484718,44.38514181172184,44.38514181172184,14.351431176117238,14.351431176117238,0.0,1.0931445894288232,2.7121211616700065,0.0
0.5,1.0,21,11.626762910180293,38.57087110115844,0.17124708801310848,46.87815632284569,46.87815632284569,13.723829567030618,13.723829567030618,0.0,1.2863218255373523,5.637494323551098,0.0
0.5,1.0,22,12.239516889122658,40.50431175273272,0.17078045605484718,44.38514181172184,44.38514181172184,14.351431176117238,14.351431176117238,0.0,1.0931445894288232,2.7121211616700065,0.0
1.0,0.0,21,11.626762910180293,38.57087110115844,0.17124708801310848,46.87815632284569,46.87815632284569,13.723829567030618,13.723829567030618,0.0,1.2863218255373523,5.637494323551098,0.0
1.0,0.0,22,12.289945103790073,40.35706688188283,0.17111808684956617,44.244100837022046,44.244100837022046,14.413254937434264,14.413254937434264,0.0,1.1072643346018842,2.7257489452729597,0.0
1.0,0.5,21,11.626762910180293,38.57087110115844,0.17124708801310848,46.87815632284569,46.87815632284569,13.723829567030618,13.723829567030618,0.0,1.2863218255373523,5.637494323551098,0.0
1.0,0.5,22,12.239516889122658,40.50431175273272,0.17078045605484718,44.38514181172184,44.38514181172184,14.351431176117238,14.351431176117238,0.0,1.0931445894288232,2.7121211616700065,0.0
1.0,1.0,21,11.87230250075378,38.34877607543646,0.1707357430358947,46.65612431132584,46.65612431132584,14.015832229300702,14.015832229300702,0.0,1.3082747148245348,5.570748071862989,0.0
1.0,1.0,22,12.239516889122658,40.50431175273272,0.17078045605484718,44.38514181172184,44.38514181172184,14.351431176117238,14.351431176117238,0.0,1.0931445894288232,2.7121211616700065,0.0
2.0,0.0,21,11.808605278174603,38.250138051922534,0.17129232503782987,46.597409570743906,46.597409570743906,13.951082890071815,13.951082890071815,0.0,1.3144129158708517,5.606979536096257,0.0
2.0,0.0,22,12.325158325032175,40.26447847016771,0.16978222544302557,44.13017954236773,44.13017954236773,14.46434351167983,14.46434351167983,0.0,1.1092280844383524,2.73479747047805,0.0
2.0,0.5,21,12.122670323207956,37.95383406687455,0.1697191547256928,46.24996858138911,46.24996858138911,14.321181254280813,14.321181254280813,0.0,1.3409554985628982,5.515902725249316,0.0
2.0,0.5,22,12.24273104335493,40.15132006921702,0.17345275816463565,43.986741342769804,43.986741342769804,14.363844945013037,14.363844945013037,0.0,1.0919760469211823,2.71051651956746,0.0
2.0,1.0,21,12.122670323207956,37.95383406687455,0.1697191547256928,46.24996858138911,46.24996858138911,14.321181254280813,14.321181254280813,0.0,1.3409554985628982,5.515902725249316,0.0
2.0,1.0,22,12.207559129220595,40.37984928802094,0.1718414788333013,44.21810545171546,44.21810545171546,14.320527571526158,14.320527571526158,0.0,1.0802720752347517,2.7017786087124303,0.0
